from,to,distance
PNWG,FNAL,5.0
PNWG,SLAC,3.0
PNWG,NERSC,3.0
PNWG,PANTEX,4.0
PNWG,CERN-513,6.0
AMST,DENV,4.0
AMST,WASH,2.0
AMST,SUNN,4.0
AMST,STAR,2.0
AMST,CHIC,2.0
AMST,SACR,3.0
AMST,AOFA,3.0
AMST,HOUS,4.0
AMST,NASH,3.0
AMST,NEWY,2.0
AMST,ALBQ,5.0
AMST,LOND,1.0
AMST,KANS,3.0
AMST,BOST,1.0
AMST,ELPA,5.0
AMST,BOIS,5.0
AMST,LSVN,5.0
AMST,PNWG,4.0
AMST,AMST,0.0
AMST,JGI,4.0
AMST,LLNL,5.0
AMST,NREL,5.0
AMST,BNL,3.0
AMST,SNLL,4.0
AMST,PPPL,3.0
AMST,ANL,3.0
AMST,SNLA,4.0
AMST,FNAL,3.0
AMST,SLAC,5.0
AMST,NERSC,5.0
AMST,PANTEX,5.0
AMST,CERN-513,1.0
JGI,DENV,2.0
JGI,WASH,3.0
JGI,SUNN,2.0
JGI,STAR,3.0
JGI,CHIC,2.0
JGI,SACR,1.0
JGI,AOFA,4.0
JGI,HOUS,4.0
JGI,NASH,3.0
JGI,NEWY,4.0
JGI,ALBQ,3.0
JGI,LOND,1.0
JGI,KANS,3.0
JGI,BOST,3.0
JGI,ELPA,3.0
JGI,BOIS,3.0
JGI,LSVN,3.0
JGI,PNWG,2.0
JGI,AMST,2.0
JGI,JGI,0.0
JGI,LLNL,3.0
JGI,NREL,3.0
JGI,BNL,5.0
JGI,SNLL,2.0
JGI,PPPL,4.0
JGI,ANL,4.0
JGI,SNLA,2.0
JGI,FNAL,4.0
JGI,SLAC,3.0
JGI,NERSC,3.0
JGI,PANTEX,5.0
JGI,CERN-513,3.0
LLNL,DENV,3.0
LLNL,WASH,4.0
LLNL,SUNN,1.0
LLNL,STAR,4.0
LLNL,CHIC,3.0
LLNL,SACR,2.0
LLNL,AOFA,5.0
LLNL,HOUS,3.0
LLNL,NASH,4.0
LLNL,NEWY,6.0
LLNL,ALBQ,4.0
LLNL,LOND,4.0
LLNL,KANS,4.0
LLNL,BOST,5.0
LLNL,ELPA,2.0
LLNL,BOIS,4.0
LLNL,LSVN,2.0
LLNL,PNWG,3.0
LLNL,AMST,5.0
LLNL,JGI,3.0
LLNL,LLNL,0.0
LLNL,NREL,4.0
LLNL,BNL,7.0
LLNL,SNLL,3.0
LLNL,PPPL,5.0
LLNL,ANL,5.0
LLNL,SNLA,3.0
LLNL,FNAL,5.0
LLNL,SLAC,2.0
LLNL,NERSC,2.0
LLNL,PANTEX,4.0
LLNL,CERN-513,6.0
NREL,NREL,0.0
BNL,DENV,5.0
BNL,WASH,3.0
BNL,SUNN,5.0
BNL,STAR,3.0
BNL,CHIC,3.0
BNL,SACR,4.0
BNL,AOFA,2.0
BNL,HOUS,5.0
BNL,NASH,4.0
BNL,NEWY,1.0
BNL,ALBQ,6.0
BNL,LOND,3.0
BNL,KANS,4.0
BNL,BOST,4.0
BNL,ELPA,6.0
BNL,BOIS,6.0
BNL,LSVN,6.0
BNL,PNWG,5.0
BNL,AMST,4.0
BNL,JGI,5.0
BNL,LLNL,6.0
BNL,NREL,6.0
BNL,BNL,0.0
BNL,SNLL,5.0
BNL,PPPL,4.0
BNL,ANL,4.0
BNL,SNLA,5.0
BNL,FNAL,4.0
BNL,SLAC,6.0
BNL,NERSC,6.0
BNL,PANTEX,6.0
BNL,CERN-513,5.0
SNLL,DENV,2.0
SNLL,WASH,3.0
SNLL,SUNN,2.0
SNLL,STAR,3.0
SNLL,CHIC,2.0
SNLL,SACR,1.0
SNLL,AOFA,4.0
SNLL,HOUS,4.0
SNLL,NASH,3.0
SNLL,NEWY,5.0
SNLL,ALBQ,3.0
SNLL,LOND,3.0
SNLL,KANS,3.0
SNLL,BOST,4.0
SNLL,ELPA,3.0
SNLL,BOIS,3.0
SNLL,LSVN,3.0
SNLL,PNWG,2.0
SNLL,AMST,4.0
SNLL,JGI,2.0
SNLL,LLNL,3.0
SNLL,NREL,3.0
SNLL,BNL,6.0
SNLL,SNLL,0.0
SNLL,PPPL,4.0
SNLL,ANL,4.0
SNLL,SNLA,2.0
SNLL,FNAL,4.0
SNLL,SLAC,3.0
SNLL,NERSC,3.0
SNLL,PANTEX,5.0
SNLL,CERN-513,5.0
PPPL,DENV,4.0
PPPL,WASH,1.0
PPPL,SUNN,4.0
PPPL,STAR,3.0
PPPL,CHIC,2.0
PPPL,SACR,3.0
PPPL,AOFA,2.0
PPPL,HOUS,3.0
PPPL,NASH,2.0
PPPL,NEWY,3.0
PPPL,ALBQ,5.0
PPPL,LOND,3.0
PPPL,KANS,3.0
PPPL,BOST,4.0
PPPL,ELPA,4.0
PPPL,BOIS,5.0
PPPL,LSVN,5.0
PPPL,PNWG,4.0
PPPL,AMST,4.0
PPPL,JGI,4.0
PPPL,LLNL,5.0
PPPL,NREL,5.0
PPPL,BNL,4.0
PPPL,SNLL,4.0
PPPL,PPPL,0.0
PPPL,ANL,4.0
PPPL,SNLA,4.0
PPPL,FNAL,4.0
PPPL,SLAC,5.0
PPPL,NERSC,5.0
PPPL,PANTEX,4.0
PPPL,CERN-513,5.0
SRS,SRS,0.0
ANL,DENV,4.0
ANL,WASH,3.0
ANL,SUNN,4.0
ANL,STAR,1.0
ANL,CHIC,2.0
ANL,SACR,3.0
ANL,AOFA,2.0
ANL,HOUS,4.0
ANL,NASH,3.0
ANL,NEWY,3.0
ANL,ALBQ,5.0
ANL,LOND,3.0
ANL,KANS,3.0
ANL,BOST,2.0
ANL,ELPA,5.0
ANL,BOIS,5.0
ANL,LSVN,5.0
ANL,PNWG,4.0
ANL,AMST,3.0
ANL,JGI,4.0
ANL,LLNL,5.0
ANL,NREL,5.0
ANL,BNL,4.0
ANL,SNLL,4.0
ANL,PPPL,4.0
ANL,ANL,0.0
ANL,SNLA,4.0
ANL,FNAL,2.0
ANL,SLAC,5.0
ANL,NERSC,5.0
ANL,PANTEX,5.0
ANL,CERN-513,4.0
SNLA,DENV,2.0
