Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
199831,3.684734821,1.856557131,1.520184994
200162,2.778814316,1.74472034,1.398202658
200854,3.092154503,1.648036599,1.437031627
201168,3.082482338,1.857466221,1.46903336
201591,3.336867094,1.774952888,1.401375413
201827,3.083560705,1.671089649,1.332194686
202431,2.935869932,1.686603904,1.381179094
202977,3.435225725,1.430857539,1.210324764
203894,3.219880581,1.671689153,1.188095927
203971,2.961995363,1.888318658,1.255218983
204397,3.158085346,1.688838363,1.343956113
204668,2.586673975,1.795668006,1.25551939
204783,4.148783684,2.035579205,1.327030897
204951,4.713832855,1.414696455,1.565159321
205464,2.976123571,1.865056038,1.203591585
205589,3.665276766,1.730084896,1.222119689
206815,3.271184921,2.18827343,1.444614291
207762,3.087821245,1.877690792,1.238435984
208333,2.836387396,1.855500698,1.158584237
210226,3.413717747,1.766961217,1.370498896
210789,3.109619617,1.764391065,1.532992721
210991,4.467697144,1.717242956,1.183710337
212186,2.890476704,1.61665988,1.47444737
212750,2.743602276,1.74224174,1.504739046
213883,2.989955902,1.648086429,1.208734751
215278,3.03968358,1.669414043,1.260544062
215512,2.813483715,1.903956771,1.52515924
215672,2.820231915,1.653619647,1.261710167
216086,2.963502407,1.757735848,1.335044384
216156,3.042205334,1.620755434,1.28766942
217065,2.604223013,1.97060883,1.274081469
217319,3.37438941,1.541608691,1.256273627
218145,3.235978842,1.835415244,1.303457141
218366,3.284743786,1.893563032,1.33688128
218851,3.734531403,1.932877302,1.255035996
218927,3.464149475,1.851062417,1.428495169
219142,3.17367363,1.811138391,1.212848902
219661,3.062558174,1.671822548,1.264801979
219863,2.89513588,2.006786823,1.302473426
220575,2.985194683,1.737896681,1.205401421
220887,3.779829502,1.731070876,1.239688039
220989,3.050328732,1.873714685,1.269259691
221723,3.144684076,1.554081202,1.219350338
222123,2.100681782,1.983080983,0.940242767
222164,2.905683517,1.639588237,1.201559067
222655,3.232891798,1.726196527,1.001737833
222984,2.919703245,1.929570556,1.204879045
223051,2.719421864,1.710709453,1.138680577
223704,3.012357473,1.761759043,1.064382076
223864,3.223608255,1.750716209,1.033216
224411,2.79817915,1.67868185,1.073453307
224485,3.52142787,1.540409684,1.218076468
224797,3.004648209,1.465637803,1.091824293
224867,3.214031219,1.901660681,1.386997342
225886,2.904858112,1.823411822,1.065181255
226129,2.860203505,1.581837773,1.090687633
226911,3.637196779,1.704347372,1.282372355
227881,3.317860126,1.765705824,1.157554746
228170,2.925810099,1.800162315,1.235223413
228588,3.084468603,1.877534747,1.110351563
228902,2.881859779,1.849230886,1.188324571
229507,2.80458951,1.711391568,1.253154397
230301,2.465102196,1.704603791,0.992392361
231001,3.034561634,1.793605924,1.122380376
231555,3.715778112,1.796349764,1.154528856
231706,3.265921831,2.128368378,1.051406503
233456,2.795660973,1.599032044,1.084013581
233542,2.93606782,1.603253245,1.172760606
233821,3.215063572,1.745614767,1.057006836
233965,2.52986002,2.014419556,1.088567019
234600,2.736755371,1.708075166,0.908742309
235500,2.542024612,1.692585349,0.961377621
236314,2.774456978,1.732021689,1.038730025
236877,2.82920146,1.738345742,1.015938163
237064,2.878438711,1.791732907,1.126052856
237120,3.340113163,1.749833107,1.126307487
237419,2.614254951,1.52512598,0.979079247
237926,2.849363089,1.561498284,1.032948494
238122,2.893264771,1.813492775,1.064032197
238221,2.977962255,1.603938341,0.994960606
238672,3.029189348,1.63686204,1.007996917
238972,2.346391678,1.676397204,0.918802261
239104,2.598380089,1.624333501,1.134365678
240019,2.929459333,1.798523784,1.186383843
240069,2.908625126,1.801886797,1.053617239
240670,2.638036489,1.900953293,1.07329762
241299,2.797297478,1.633213878,1.178833127
241787,2.741746426,1.662909746,1.089751482
241895,2.750920296,1.745990396,1.173516393
242028,2.094121695,1.66560638,1.022339582
242096,2.92614913,1.718164206,1.056104302
242222,2.978983164,1.745072603,1.209270716
242759,3.134098768,1.642508507,1.010745645
242830,3.024689674,1.687098384,1.006769061
243203,3.150803804,1.832948089,1.022218466
243415,3.291056395,1.693968654,1.136989713
243480,2.678689241,1.857280374,0.863729715
244058,1.449792743,1.976132631,0.985468149
244107,2.902602911,2.127292871,1.026040316
244593,3.102784395,1.745569706,0.842833519
244682,2.764503002,1.558680773,1.105263948
245039,2.664230824,1.595413685,1.120110154
245498,2.229548216,1.769755006,1.115909576
245697,2.793337584,1.713547111,0.982804179
245727,2.126435757,1.745479107,1.101982713
245999,2.007066727,1.668229461,1.081744671
246731,2.400658607,1.741702318,1.19108808
246748,3.08873558,1.725133896,1.189329386
247159,2.752138853,1.577407598,1.137503743
247323,2.842948437,1.753358364,1.225982308
247625,2.337879658,1.785594106,1.30108726
247654,2.646060705,1.761063814,1.126973152
247749,3.130320072,1.70558548,1.270436406
248486,2.894276381,1.746355653,1.144251943
248587,2.738002539,1.887540698,1.118015885
248756,2.965784311,1.543624878,1.170658112
248868,2.700415134,1.97315371,1.198826075
248950,4.173767567,1.523972511,1.130672932
249187,2.720206261,1.721298099,1.173162699
249971,2.766981602,1.593295455,1.171997547
250073,3.35133934,1.751127362,1.263729692
250203,2.794821501,1.60009706,1.347275138
250604,1.351012707,1.746664762,1.15827775
250972,3.094646931,1.692697287,1.08098948
251008,2.532465696,1.574438572,1.046895742
251123,2.621409893,1.813171625,1.093264818
251663,2.969774008,1.71335721,0.926634908
252046,2.94112277,1.874637127,0.901642442
252300,2.452445269,1.738551974,0.822531283
252501,2.804885149,1.679586172,1.075773597
253619,3.059366703,1.522424102,0.972681403
253832,2.539573669,1.596357703,1.076340318
254635,2.64599371,1.584862947,1.047676802
254732,2.801893234,1.550259829,0.932384253
254829,2.532094955,1.593845487,0.801366448
255295,2.825354099,1.757247806,0.865210056
256201,2.814755917,1.698378205,0.891842961
256345,2.83311367,1.607863903,1.149799943
256422,2.487626076,1.604762197,0.82739538
256861,2.18363452,1.669996262,0.904643953
257150,2.290853977,1.77449584,0.879186511
257335,3.257829666,1.631791115,0.835552335
257747,2.816958189,1.790862203,0.821294308
258086,2.261552811,1.484174728,0.859249115
258347,2.940901995,2.188447714,0.958242357
258788,2.498750925,1.501101851,0.991825342
259381,3.398030996,1.74516964,1.080989838
259471,2.597623825,1.626809478,0.924846947
259510,4.03622961,1.917236209,1.008168459
259769,2.74388051,1.706157684,0.895312369
260038,3.034286261,1.667104602,1.040215135
260067,2.48821044,1.642478466,0.88989675
260138,2.934623241,1.941095114,0.854973733
260474,2.540773153,1.872529745,1.024246693
260605,2.700164557,1.76976335,0.813632011
260870,2.363325119,1.661943316,0.861165226
260940,2.732043982,1.701828599,0.938560426
261058,2.443158865,1.713979006,0.983536184
261284,2.761476517,1.5307796,0.751971722
261315,3.143748522,1.737553,0.910721183
261408,3.395172834,1.350020051,0.835563838
