Timesteps,95% Efficiency: (0.95),75% Efficiency: (0.75),85% Efficiency: (0.85)
285107,119,108,118
285132,119,108,118
285251,119,108,118
285310,119,108,118
285378,119,108,118
285412,119,108,118
285448,119,108,118
285704,119,108,118
285753,119,108,118
285790,119,108,118
286150,119,108,118
286585,119,108,118
286637,119,108,118
286907,119,108,118
287104,119,108,118
287178,119,108,118
287229,119,108,118
287655,119,108,118
287727,119,108,118
288067,119,108,118
288280,119,108,118
288318,119,108,118
288406,119,108,118
288520,119,108,118
288607,119,108,118
289010,119,108,118
289294,119,108,118
289557,119,108,118
289727,119,108,118
289806,119,108,118
289827,119,108,118
289905,119,108,118
290000,119,108,118
290454,119,108,118
290527,119,108,118
291008,119,108,118
291025,119,108,118
291057,119,108,118
291102,119,108,118
291306,119,108,118
291657,119,108,118
291864,119,108,118
291926,119,108,118
292400,119,108,118
293313,119,108,118
293333,119,108,118
293606,119,108,118
293809,119,108,117
293870,119,108,117
294143,119,108,117
294262,119,108,117
294367,119,108,117
294445,119,108,117
294700,119,108,117
294890,119,108,117
294911,119,108,117
294933,119,108,117
295169,119,108,117
295278,119,108,117
295598,119,108,117
295723,119,108,117
295767,119,108,117
295961,119,108,117
295994,119,108,117
296227,119,108,117
296499,119,108,117
296652,119,108,117
296685,119,108,117
296719,119,108,117
296807,119,108,117
297274,119,108,117
297310,119,108,117
297421,119,108,117
297634,119,108,117
297763,119,108,117
298051,119,108,117
298079,119,108,117
298183,119,108,117
298212,119,108,117
298527,119,108,117
298856,119,108,117
298892,119,108,117
298918,119,108,117
298958,119,108,117
299055,119,108,117
299099,119,109,117
299431,119,109,117
299517,119,109,117
299783,119,109,117
299875,119,109,117
300052,119,109,117
300093,119,109,117
300151,119,109,117
300209,119,109,117
300308,119,109,117
300366,119,109,117
300600,119,109,117
300643,119,109,117
300679,119,109,117
300752,119,109,117
301144,119,109,117
301232,119,109,117
301462,119,109,117
301513,119,109,117
302215,119,109,117
302304,119,109,117
302442,119,109,117
302483,119,109,117
302630,119,109,117
302801,119,109,117
302828,119,109,117
302867,119,109,117
303100,119,109,117
303261,119,109,117
303521,119,109,117
303760,119,109,117
303784,119,109,117
303877,119,109,117
303911,119,109,117
303935,119,109,117
304012,119,109,117
304237,119,109,117
304412,119,109,117
304433,119,109,117
304593,119,109,117
304680,119,109,117
304733,119,109,117
304781,119,109,117
304803,119,109,117
304899,119,109,117
304950,119,109,117
304988,119,109,117
305005,119,109,117
305149,119,109,117
305201,119,109,117
305421,119,109,117
305462,119,109,117
305583,119,109,117
305799,119,109,117
306270,119,109,117
306693,119,109,117
306777,119,109,117
306943,119,109,117
307170,119,109,117
307267,119,109,117
307476,119,109,117
307765,119,109,117
307961,119,109,117
308003,119,109,117
308247,119,109,117
308491,119,109,117
308535,119,109,117
308549,119,109,117
308605,119,109,117
308805,119,109,117
309022,119,109,117
309133,119,109,117
309452,119,109,117
310159,119,109,117
310387,119,109,117
310696,119,109,117
310776,119,109,117
310820,119,109,117
310916,119,109,117
311005,119,109,117
311028,119,109,117
311337,119,109,117
311420,119,109,117
311485,119,109,117
311570,119,109,117
311637,119,109,117
311707,119,109,117
311832,119,109,117
311858,119,109,117
311890,119,109,117
311959,119,109,117
312218,119,109,117
312257,119,109,117
312377,119,109,117
312450,119,109,117
312534,119,109,117
312653,119,109,117
312685,119,109,117
312746,119,109,117
312926,119,109,117
313157,119,109,117
313256,119,109,117
313561,119,109,117
313593,119,109,117
313685,119,109,117
313721,119,109,117
313782,119,109,117
313836,119,109,117
314266,119,109,117
314416,119,109,117
314472,119,109,118
314549,119,109,118
314617,119,109,118
314640,119,109,118
314693,119,109,118
315078,119,109,118
315344,119,109,118
315370,119,109,118
315497,119,109,118
315845,119,109,118
315895,119,109,118
316345,119,109,118
316461,119,109,118
316861,119,109,118
