Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
155543,44.25999832,21.04000092,10.28999996
155874,43.86000061,21.12000084,9.930000305
156284,40.63000107,20.53000069,10.97000027
156506,40.27999878,22.94000053,10.64000034
157802,35.36000061,22.57999992,10.59000015
158411,37.77999878,22.96999931,10.18000031
158785,40.68000031,22.76000023,10.76000023
158926,40.97999954,21.71999931,10.03999996
160073,43.74000168,21.19000053,9.93999958
160751,45.50999832,21.53000069,9.770000458
161145,43.84999847,20.13999939,8.449999809
162148,48.79000092,19.80999947,8.640000343
162726,52.43000031,21.12000084,8.68999958
163204,44.18999863,21.09000015,9.710000038
164117,47.04999924,21.5,8.989999771
164317,46.72000122,22.05999947,10.96000004
164938,45.75999832,21.47999954,9.75
166795,51.47000122,25.70999908,9.970000267
169073,53.11000061,25.54000092,10.06000042
169392,50.75,24.68000031,10.13000011
171154,55.52999878,25.28000069,9.720000267
171420,56.47999954,27.39999962,9.789999962
172007,50.93000031,24,10.03999996
172460,51.04999924,21.95999908,10.05000019
173800,47.27000046,21.53000069,9.819999695
173836,45.54999924,21.37999916,9.930000305
174004,46.65000153,21.30999947,9.840000153
175296,47.88999939,18.56999969,9.350000381
175415,47.93000031,18.79999924,10.27000046
175983,45.63000107,18.01000023,11.11999989
176858,45.15999985,18.78000069,11.09000015
178218,44.18000031,21.25,10.56000042
178279,44.43000031,21.90999985,10.18000031
178334,43.29999924,21.18000031,9.699999809
178565,40.52999878,22.32999992,11.98999977
178748,41.25999832,22.25,12.59000015
180981,45.47999954,20.19000053,9.850000381
181422,47.04999924,22.06999969,9.859999657
184036,57.02000046,24.80999947,9.270000458
184472,59.06999969,25.07999992,8.93999958
184654,59.06000137,24.38999939,9.989999771
185814,57.13999939,24.62999916,9.579999924
186163,59.27000046,24.55999947,9.930000305
186582,56.00999832,25.32999992,9.930000305
186866,54.43999863,24.10000038,10.68999958
187267,51.97999954,21.17000008,10.89000034
187738,45.75999832,18.79000092,8.989999771
187863,44.40999985,18.5,8.779999733
188419,42.40000153,18.26000023,8.760000229
189083,38.93999863,18.04000092,9.149999619
189487,38.5,15.07999992,12.02999973
190104,35.22000122,16.01000023,12.30000019
191929,38.68999863,16.23999977,12.34000015
192022,39.04000092,18.43000031,12.52000046
192473,39.08000183,20.38999939,12.17000008
193483,39.22999954,20.61000061,9.649999619
193878,39.61999893,21.70999908,9.270000458
193957,38.52999878,21.5,8.93999958
194815,39.09999847,22.15999985,9.180000305
194988,37.09000015,22.12000084,10.64000034
195235,34.68000031,21.71999931,11.94999981
195646,34.72000122,21.31999969,11.89999962
196063,33.90000153,19.64999962,11.18999958
196540,30.56999969,19.54999924,11.47000027
196901,32.02999878,16.46999931,10.25
197345,32.70999908,16.45000076,9.970000267
199090,34.15000153,16.87000084,8.729999542
199158,33.40999985,19.84000015,8.590000153
199386,33.22999954,19.73999977,7.889999866
199831,35.65000153,21.44000053,7.75
200162,36.22000122,21.61000061,7.670000076
200854,36.41999817,21.64999962,7.800000191
201168,36.00999832,21.10000038,7.909999847
201591,36.06000137,23.84000015,8.430000305
201827,34.29999924,23.82999992,8.43999958
202431,36.38999939,23.71999931,8.460000038
202977,38.86999893,21.22999954,7.840000153
203894,42.72000122,21.68000031,7.519999981
203971,41.40000153,19.30999947,7.389999866
204397,42.34999847,18.94000053,7.949999809
204668,38.90999985,19.51000023,8.31000042
204783,39.29000092,16.05999947,8.43999958
204951,40.36000061,15.82999992,7.880000114
205464,41.31999969,19.10000038,8.109999657
205589,41.70000076,20.35000038,8.630000114
206815,33,20.45999908,8.81000042
