Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
299168,-238.0700073,-109.6399994,-83.01000214
300343,-238.3300018,-104.7799988,-82.62000275
301421,-239.6100006,-103.5800018,-83.02999878
302949,-232.0800018,-112.1900024,-88.06999969
304081,-233.6799927,-115.0899963,-90.55999756
305309,-241.0099945,-109.1999969,-86.30999756
306186,-240.0599976,-105.3600006,-78.69999695
307128,-238.3699951,-101.1999969,-85.02999878
308951,-239.8000031,-107.2799988,-88.19000244
309481,-242.3500061,-110.4800034,-89.84999847
310241,-234.0700073,-113.4499969,-88.73000336
311316,-237.5299988,-121.6399994,-91.88999939
312293,-233.9600067,-111.3300018,-92.61000061
313013,-237.0200043,-115.6900024,-88.88999939
314264,-241.0200043,-105.1699982,-86.23000336
315620,-243.0899963,-103.5699997,-82.70999908
316610,-240.4900055,-108.6699982,-83.91000366
317407,-242.1499939,-113.8000031,-81.59999847
318477,-235.7799988,-116.9700012,-87.19000244
319791,-241.5800018,-117.3000031,-77.26999664
320150,-241.7899933,-89.16000366,-79.63999939
321268,-226.8099976,-92.62000275,-78.56999969
322124,-231.3399963,-88.27999878,-83.90000153
323914,-225.4900055,-93.15000153,-90.70999908
325233,-229.9600067,-93.04000092,-91.01999664
326393,-236.3399963,-87.41000366,-88.70999908
328443,-227.5700073,-90.81999969,-84.18000031
329105,-228.7200012,-89.30999756,-86.69999695
330938,-226.7899933,-88,-84.30999756
331905,-231.3500061,-96.26999664,-86.40000153
332670,-228.6199951,-101.4800034,-89.48999786
333654,-231.8899994,-97.16000366,-72.44999695
334447,-231.4199982,-99.73999786,-69.80000305
335431,-231.0800018,-93,-65.40000153
336450,-223.6300049,-97,-63.93999863
337071,-218.1300049,-97.45999908,-67.41999817
338558,-211.3899994,-92.79000092,-66.61000061
339071,-212.6999969,-98.16000366,-65.13999939
340197,-218.0899963,-84.94000244,-68.73999786
341639,-210.8000031,-90.11000061,-73.72000122
343146,-221.5299988,-87.41999817,-71.73999786
344387,-216.4900055,-91.70999908,-73.16000366
345104,-208.2899933,-91.55999756,-67.5
346892,-204.6999969,-89.41000366,-67.48999786
347273,-204.9900055,-94.68000031,-71.09999847
348013,-189.6399994,-94.40000153,-70.45999908
349742,-187.9100037,-92.73000336,-79.5
350176,-186.6300049,-96.72000122,-73.84999847
351304,-182.1300049,-97.87999725,-78.05000305
352578,-186.2599945,-98.43000031,-71.76999664
353403,-190.9499969,-104.9300003,-74.22000122
354531,-192.2100067,-92.04000092,-71.47000122
355218,-192.4100037,-94.84999847,-60.38000107
356004,-193.4100037,-90.75,-64
357034,-199.6399994,-93.69000244,-55.75
359459,-201.25,-95.54000092,-53.86000061
360056,-200.7299957,-96.52999878,-50.59000015
361902,-198.9299927,-98.23999786,-54.47999954
362705,-198.8099976,-91.30000305,-55.79000092
363717,-196.0700073,-88.16999817,-61.68999863
364673,-201.1600037,-93.26999664,-64.90000153
365768,-203.1699982,-90.98999786,-71.83000183
366095,-203.6199951,-89.16999817,-73.26000214
367584,-202.5899963,-86.40000153,-75.52999878
368317,-206.1600037,-82.70999908,-75.36000061
369091,-211.4499969,-78.13999939,-76.16000366
370994,-213.6199951,-81.94000244,-68.26000214
371655,-212.5200043,-80.55000305,-68.38999939
372268,-213.8399963,-83.91000366,-61.58000183
373005,-194.0500031,-84.44999695,-62.09999847
374432,-191.4100037,-79.12999725,-64.84999847
375667,-194.8300018,-77.61000061,-72.87000275
376514,-192.3899994,-78.05999756,-76.34999847
378471,-206.3200073,-74.62999725,-78.02999878
379390,-213.3899994,-73.54000092,-82.55999756
380374,-210.4499969,-70.77999878,-85.76000214
381399,-208.7200012,-71,-87.34999847
382716,-200.7100067,-78.61000061,-88.94000244
383657,-199.6499939,-78.73999786,-92.13999939
384773,-197.4499969,-83.29000092,-77.09999847
385650,-199.6100006,-88.63999939,-76.62000275
386894,-199.5,-91.56999969,-70.41000366
387652,-207.9900055,-92.80999756,-76.30999756
388018,-198.0800018,-96.91999817,-77.72000122
389152,-198.1799927,-97.26000214,-82.51999664
390186,-206.6600037,-91.16999817,-79.04000092
391709,-206.1499939,-91.12000275,-77.51000214
392219,-207.1600037,-92.58999634,-80.31999969
393295,-203.1199951,-98.27999878,-85.54000092
394566,-208.4799957,-104.2300034,-87.91999817
395062,-207.1300049,-95.51999664,-84.37999725
396279,-196.3699951,-99.97000122,-89.72000122
397511,-185.0599976,-94.40000153,-78.61000061
398856,-175.9600067,-100.6500015,-76.87999725
399823,-180.8399963,-105.2099991,-76.77999878
400724,-185.0800018,-106.1100006,-81.09999847
401559,-187.5099945,-111.9100037,-73.48000336
402148,-189.5700073,-116.4199982,-74.90000153
403831,-177.5200043,-110.2300034,-72.43000031
404271,-176.1000061,-113.0500031,-68.11000061
405392,-175.0200043,-103.1200027,-73.97000122
406206,-178.3600006,-107.5500031,-73.48999786
407019,-181.4799957,-103.8700027,-75.01999664
408058,-177.6600037,-103.6200027,-72.09999847
409844,-172.5599976,-108.5599976,-73.77999878
410279,-176.4900055,-105.6200027,-73.26000214
411629,-170.25,-104.7799988,-77.58999634
412318,-171.9700012,-97.93000031,-82.97000122
413087,-168.6999969,-98.94000244,-79.66000366
414011,-165.0899963,-97.30999756,-75.33000183
