Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
251427,-53.83000183,-21.45999908,-6.639999866
252739,-60.84999847,-19.17000008,-5.739999771
253736,-58.25999832,-14.90999985,-7.03000021
254670,-52.15999985,-17.79999924,-8.270000458
255424,-52.88000107,-17.48999977,-6.139999866
256283,-52.68000031,-13.78999996,-6
257144,-47.59000015,-17.56999969,-6.639999866
258162,-53.63999939,-18.23999977,-6.820000172
259314,-57.5,-15.19999981,-6.920000076
260843,-56.77999878,-13.40999985,-6.320000172
261949,-57.27000046,-15.43999958,-6.369999886
262600,-56.59999847,-14.5,-5.360000134
264116,-47.54000092,-16.28000069,-6.150000095
265747,-45.18999863,-22.40999985,-6.5
267145,-44.81999969,-20.70000076,-5.989999771
268582,-42.31000137,-15.81000042,-5.630000114
269652,-41.09000015,-18.12999916,-5.480000019
270587,-34.65999985,-19.54000092,-6.099999905
271743,-40.88999939,-17.21999931,-6.460000038
272763,-43.02999878,-15.86999989,-8.020000458
273819,-43.97999954,-13.21000004,-6.480000019
274594,-47.43000031,-14.77000046,-5.949999809
275306,-51.13000107,-16.11000061,-6.130000114
276485,-46.43000031,-12.21000004,-5.53000021
277139,-45.11999893,-13.64999962,-5.230000019
278418,-47.20000076,-10.73999977,-5.300000191
279615,-48.65999985,-13.89000034,-5.539999962
280447,-50.54999924,-11.68999958,-5.769999981
282100,-54.45999908,-10.93000031,-6.010000229
283692,-51.04000092,-12.47999954,-6
284716,-54.45000076,-13.98999977,-6.539999962
285840,-50.81999969,-13.22999954,-5.71999979
286419,-50.34999847,-15.35999966,-5.909999847
287750,-46.63999939,-14.18999958,-5.46999979
288498,-46.41999817,-21.94000053,-6.130000114
289222,-45.31000137,-23.52000046,-5.239999771
291264,-45.40000153,-18.29999924,-6.039999962
292698,-43.40000153,-19.87000084,-6.989999771
293517,-41.20000076,-21.45999908,-7.039999962
294637,-42.38000107,-19.17000008,-5.570000172
295072,-44.68999863,-14.90999985,-6.239999771
296615,-47.22000122,-17.79999924,-5.960000038
298587,-53.20999908,-17.48999977,-6.71999979
299168,-53.83000183,-13.78999996,-6.099999905
300343,-60.84999847,-17.56999969,-5.090000153
301421,-58.25999832,-18.23999977,-4.940000057
302949,-52.15999985,-15.19999981,-5.400000095
304081,-52.88000107,-13.40999985,-4.929999828
305309,-52.68000031,-15.43999958,-7.230000019
306186,-47.59000015,-14.5,-5.079999924
307128,-53.63999939,-16.28000069,-5.349999905
308951,-57.5,-22.40999985,-6.579999924
309481,-56.77999878,-20.70000076,-5.099999905
310241,-57.27000046,-15.81000042,-5.96999979
311316,-56.59999847,-18.12999916,-4.929999828
312293,-47.54000092,-19.54000092,-5.349999905
313013,-45.18999863,-17.21999931,-5.309999943
314264,-44.81999969,-15.86999989,-6.25
315620,-42.31000137,-13.21000004,-5.860000134
316610,-41.09000015,-14.77000046,-4.949999809
317407,-34.65999985,-16.11000061,-5.550000191
318477,-40.88999939,-12.21000004,-5.429999828
319791,-43.02999878,-13.64999962,-11.81000042
320150,-43.97999954,-10.73999977,-10.80000019
321268,-47.43000031,-13.89000034,-7.019999981
322124,-51.13000107,-11.68999958,-5.230000019
323914,-46.43000031,-10.93000031,-5.340000153
325233,-45.11999893,-12.47999954,-4.989999771
326393,-47.20000076,-13.98999977,-5.579999924
328443,-48.65999985,-13.22999954,-7.119999886
329105,-50.54999924,-15.35999966,-5.449999809
330938,-54.45999908,-14.18999958,-6.949999809
331905,-51.04000092,-21.94000053,-7.320000172
332670,-54.45000076,-23.52000046,-6.239999771
333654,-50.81999969,-18.29999924,-5.710000038
334447,-50.34999847,-19.87000084,-8.869999886
335431,-46.63999939,-21.45999908,-6.320000172
336450,-46.41999817,-19.17000008,-6.300000191
337071,-45.31000137,-14.90999985,-5.25
338558,-45.40000153,-17.79999924,-8.199999809
339071,-43.40000153,-17.48999977,-5.670000076
