sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CHIC_WASH_out,0.769955141,0.747023262,0.723625029,0.695748368,0.667586299,0.639770584,0.612318415,0.585603298,0.560516147,0.538136119,0.519358251,0.504679989,0.494163726,0.487508396,0.484155829,0.483387508,0.484397953,0.486348644,0.488410306,0.489799335,0.489808812,0.487834107,0.483391733,0.476131812
LLNL_SUNN_in,0.934461599,0.902011725,0.865873985,0.816013022,0.759405453,0.699216565,0.638451327,0.580270816,0.527748074,0.483363833,0.448643598,0.424042228,0.409054154,0.402469477,0.402678111,0.407943326,0.416600559,0.427175001,0.43843129,0.449378667,0.459251463,0.467481185,0.473668334,0.477558351
LLNL_SUNN_out,0.803742416,0.754762271,0.707101939,0.656306111,0.603699134,0.550997441,0.500758717,0.455372677,0.416390217,0.38436071,0.359097314,0.340085938,0.326783724,0.318733662,0.315546202,0.316822818,0.322074558,0.330665373,0.341792674,0.354506364,0.367760941,0.380489439,0.391686327,0.400485484
LSVN_SUNN_in,0.801325668,0.766192599,0.718666447,0.663768165,0.60717346,0.549571737,0.491337394,0.434137517,0.380741329,0.334024483,0.296080652,0.267848653,0.249204066,0.239270688,0.236741192,0.24010717,0.247788672,0.258195044,0.269754975,0.280940568,0.290297884,0.296485467,0.298317157,0.29480563
LSVN_SUNN_out,0.282191779,0.115854878,0.057658933,0.055924837,0.060959446,0.05310813,0.031868936,0.003548869,-0.02544205,-0.051017843,-0.071533132,-0.087015296,-0.098328092,-0.106586251,-0.112843495,-0.117973961,-0.122656199,-0.127400452,-0.13258497,-0.138489012,-0.145315876,-0.153208981,-0.162260149,-0.172514619
CHIC_KANS_in,0.855864958,0.820541931,0.785905821,0.742466219,0.696863131,0.651241548,0.606989651,0.565448828,0.528051567,0.496017553,0.470090485,0.450473967,0.43691682,0.428845644,0.425479813,0.42591019,0.429149317,0.434168602,0.439933898,0.445444748,0.449775969,0.452117869,0.451810743,0.448370277
CHIC_KANS_out,0.828501339,0.791660431,0.754635649,0.708924685,0.660663046,0.611808702,0.563791119,0.518411863,0.477866657,0.444114852,0.418309665,0.400615069,0.390372763,0.386416442,0.387357489,0.391767445,0.398263295,0.405536075,0.412362248,0.417621561,0.42032604,0.419655447,0.414989536,0.405931372
CHIC_STAR_in,0.899238075,0.869768273,0.837901562,0.799002885,0.758432991,0.717896922,0.678373758,0.641070466,0.607541617,0.57925468,0.557134334,0.541378526,0.531565829,0.526896719,0.526412272,0.529126449,0.534083607,0.540374263,0.547136382,0.553557859,0.558887003,0.562451245,0.563681561,0.562137779
CHIC_STAR_out,0.844309159,0.80286892,0.769532997,0.734425476,0.699735089,0.665517381,0.63240519,0.601500591,0.573958817,0.550606862,0.531816876,0.51757181,0.5075904,0.501433749,0.498575469,0.498443028,0.500441884,0.503971187,0.508436545,0.513263294,0.517911222,0.521890912,0.524780264,0.526239954
DENV_LSVN_in,0.291085048,0.201707475,0.183612397,0.198913703,0.213632994,0.21571269,0.206607477,0.191906824,0.176610394,0.163708282,0.154344365,0.148481023,0.145519313,0.144699337,0.145296717,0.1466893,0.148360512,0.149880589,0.150886534,0.151068105,0.150160629,0.147944226,0.144246149,0.138944624
DENV_LSVN_out,0.865647952,0.82008514,0.775301344,0.729364219,0.683694516,0.638053266,0.593209957,0.550961618,0.513344158,0.481928762,0.457545794,0.440344789,0.429985523,0.425819921,0.427015115,0.432621743,0.441609788,0.452894514,0.465366086,0.477928171,0.489543265,0.499279366,0.506351464,0.51015381
PPPL_WASH_in,0.888364888,0.861618138,0.833713272,0.793755776,0.746846104,0.696175457,0.644774905,0.595477768,0.550722998,0.512248862,0.480872505,0.456447302,0.438116888,0.4248021,0.415613205,0.409990154,0.407627894,0.408326156,0.411857101,0.417885714,0.42594355,0.435441605,0.445705759,0.456019854
PPPL_WASH_out,0.671645024,0.568338264,0.493731901,0.438387483,0.395612011,0.358433805,0.323818534,0.291462015,0.262257858,0.237231464,0.217009098,0.201684653,0.190920432,0.184136047,0.180685062,0.179968404,0.181481035,0.184807783,0.189593925,0.195510819,0.20222867,0.209403064,0.216673944,0.223675373
HOUS_NASH_in,0.788227559,0.741145753,0.700967767,0.648586793,0.592236648,0.533798481,0.474731901,0.416991403,0.362817243,0.31415542,0.272245251,0.237470285,0.209433066,0.187174135,0.169442435,0.154938033,0.142481762,0.131103081,0.120062294,0.108831719,0.097058248,0.084525785,0.071124353,0.056829764
HOUS_NASH_out,0.93583869,0.903215658,0.87417384,0.838865841,0.803064063,0.768517407,0.736104876,0.706541151,0.680543616,0.658689891,0.641280939,0.628296103,0.619429701,0.61417249,0.611901757,0.611957306,0.613693762,0.616510751,0.61986709,0.623286137,0.626357744,0.628739804,0.630160403,0.63042052
ALBQ_SNLA_in,0.858339811,0.845671737,0.833940362,0.8115211,0.783147759,0.750238712,0.714874775,0.679378902,0.645698356,0.615042413,0.587896496,0.56420982,0.543600255,0.525520322,0.509378706,0.494624055,0.48079618,0.467553064,0.45467609,0.442060606,0.429695659,0.417639727,0.405996149,0.394891515
ALBQ_SNLA_out,0.963989253,0.9461316,0.915142674,0.866850231,0.805465523,0.735749886,0.663056321,0.59306681,0.531018935,0.480652813,0.443705237,0.420212024,0.409200906,0.409271571,0.418882342,0.436410816,0.460116498,0.488103887,0.518339062,0.548730631,0.57725663,0.602103081,0.621783131,0.635218116
EASH_WASH_in,0.967500619,0.9377815,0.909701478,0.873986929,0.8358452,0.796605356,0.756944965,0.717891627,0.681084411,0.648359132,0.621190125,0.600333803,0.585784621,0.576955402,0.572924334,0.572632739,0.574999982,0.578974359,0.583553926,0.587803153,0.590875362,0.592040901,0.590715309,0.58648169
EASH_WASH_out,0.961338317,0.933700639,0.901771106,0.860835024,0.817458311,0.773264436,0.728762432,0.684847715,0.643144128,0.605560619,0.573720104,0.548603705,0.530468899,0.518949187,0.513219361,0.512153197,0.514446666,0.518709817,0.523539268,0.527581353,0.529588794,0.52847143,0.523337235,0.513522785
SLAC_SUNN_in,-0.657879009,-1.772382439,-2.444236531,-2.681375653,-2.753899487,-2.796061716,-2.84049383,-2.880542233,-2.903867075,-2.903633666,-2.879714473,-2.836583071,-2.780707793,-2.71855874,-2.655463958,-2.595252531,-2.540438108,-2.492692259,-2.453361929,-2.423914828,-2.406225413,-2.402704003,-2.416281675,-2.450296688
