sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CHIC_KANS_in,0.671586014,0.656754423,0.635293848,0.609466968,0.580319558,0.549481708,0.51872377,0.489741084,0.463645097,0.441086885,0.422560347,0.408080279,0.397398704,0.390155546,0.385842365,0.383925111,0.383965105,0.385250723,0.387290895,0.389282463,0.390945219,0.391878778,0.391698774,0.390412602
CHIC_KANS_out,0.760218903,0.737561739,0.708661034,0.675222228,0.639199782,0.602870914,0.568009066,0.53613004,0.508268571,0.485111843,0.466864063,0.453519335,0.444677224,0.439582173,0.437463138,0.437476028,0.438780188,0.440562555,0.442226339,0.443116331,0.44286777,0.441227557,0.438121381,0.433659647
CHIC_STAR_in,0.720730622,0.699303756,0.677907128,0.653985633,0.627706832,0.60061351,0.573817543,0.54837664,0.525303481,0.505406891,0.489088225,0.476541317,0.46763959,0.462135032,0.459590859,0.459351687,0.460792982,0.463263347,0.466273657,0.469509273,0.472519783,0.474731243,0.476148639,0.476391131
CHIC_STAR_out,0.615812922,0.604313702,0.591564356,0.575343163,0.556348227,0.535117621,0.513063335,0.491275534,0.471075206,0.45305048,0.438395378,0.427136722,0.419466751,0.414395904,0.411388109,0.41032575,0.410620087,0.411675039,0.413307815,0.414996818,0.415948884,0.416141889,0.415211281,0.413506099
DENV_LSVN_in,0.003232424,-0.000113805,-0.002010406,-0.006998817,-0.01257242,-0.020213423,-0.028436984,-0.036803909,-0.042611691,-0.048307716,-0.052231562,-0.053612387,-0.055530986,-0.059116587,-0.061240491,-0.064303893,-0.06714566,-0.071447955,-0.074777451,-0.078547789,-0.083382883,-0.087409629,-0.092202306,-0.096605215
DENV_LSVN_out,0.494271787,0.498041739,0.489634758,0.474383333,0.452950647,0.427092694,0.398506268,0.369957046,0.342680222,0.318900117,0.299608569,0.284723924,0.273725386,0.266945479,0.263993742,0.264299277,0.266724065,0.270697879,0.275807057,0.28110388,0.286828435,0.29174247,0.294926961,0.296235373
PPPL_WASH_in,0.397816794,0.384630328,0.374697793,0.362146999,0.347697286,0.331028926,0.312310464,0.292464341,0.272046504,0.251434727,0.230663961,0.210778342,0.192582259,0.177220862,0.165199859,0.157418927,0.153096933,0.153252876,0.158012358,0.165144999,0.17330725,0.182326051,0.192225025,0.201683733
PPPL_WASH_out,-0.06065746,-0.032576698,-0.02028277,-0.015211232,-0.014221701,-0.018096506,-0.024772283,-0.034812629,-0.047193974,-0.061916182,-0.077713672,-0.092987436,-0.109093223,-0.12474936,-0.141105349,-0.155085174,-0.168508315,-0.179622647,-0.189053444,-0.195733691,-0.201363367,-0.207230615,-0.212646366,-0.215578498
HOUS_NASH_in,0.473925869,0.465769392,0.447678706,0.423739202,0.394547814,0.360602105,0.322844848,0.282525464,0.240623951,0.198860012,0.15873173,0.121744283,0.08819366,0.059154454,0.035323556,0.016639008,0.002714664,-0.007773152,-0.015922825,-0.022941042,-0.030061546,-0.039328945,-0.051366623,-0.067097638
HOUS_NASH_out,0.791543588,0.781624295,0.768151298,0.750577867,0.729353471,0.705574728,0.680475282,0.655717057,0.632592221,0.612398004,0.595972021,0.583402138,0.574520334,0.569189917,0.567173341,0.567830425,0.570772908,0.575263974,0.580829514,0.586591808,0.59183224,0.59580322,0.598307471,0.599037047
