Date,bost_amst_in,bost_amst_out,lond_newy_in,lond_newy_out,cern-513_wash_in,cern-513_wash_out
2018-01-07 16:00:00,1428820525,2667443709,8995607300,18052785265,2680694551,891180774.3
2018-01-07 17:00:00,1546389279,3833382515,8447605537,13382070870,2916650484,4429346729
2018-01-07 18:00:00,1381334579,4731175508,10429074307,7387558355,1260476530,1096185784
2018-01-07 19:00:00,2683419489,8035085378,3804991752,12505618791,1932293980,10753588688
2018-01-07 20:00:00,1838779997,6498203334,6701332443,5549917517,1618416540,1409911984
2018-01-07 21:00:00,3130993534,2770513232,8151181103,10134158044,1867389789,1920463449
2018-01-07 22:00:00,1858618063,3101872215,13195058988,8950713660,1284379397,1510110807
2018-01-07 23:00:00,2279555019,4861551334,10050448578,12268304848,1105322148,10041194808
2018-01-08 0:00:00,1446791174,4742800708,9372925079,24717132127,2819728744,4015677062
2018-01-08 1:00:00,1138430528,4234679088,6120187559,18877591997,878156494.5,2093240944
2018-01-08 2:00:00,1224122149,3540640367,3630825158,18865688726,973481981.6,1540498582
2018-01-08 3:00:00,1285400691,3732487048,10046590495,21642828925,3004578047,13727884336
2018-01-08 4:00:00,663947750.8,4432433114,6714960598,15059463889,3943845847,3204231865
2018-01-08 5:00:00,4436969092,5385700858,10404002877,17580161713,11544064218,1488537002
2018-01-08 6:00:00,4005617570,6162836708,13421699462,10304127624,9706550739,5599404414
2018-01-08 7:00:00,4033781929,5592359312,14496422069,14714833193,2104445185,5184801877
2018-01-08 8:00:00,2829599677,5266157453,17012255319,6690827649,1736530430,3099484173
2018-01-08 9:00:00,6115499039,5004439490,28684908449,8036821244,1117762830,2087697404
2018-01-08 10:00:00,5104384060,4970157997,26776130831,11428154590,3503639746,630950410.2
2018-01-08 11:00:00,6140551978,5356825961,18483330944,8409942184,1898031809,7589986006
2018-01-08 12:00:00,7657891836,5021497332,15991586913,4844989202,1554235417,13351639953
2018-01-08 13:00:00,9636185668,6062367676,17954197214,9481508340,1761832451,1188343604
2018-01-08 14:00:00,8413696267,2372762158,11962831497,2921665950,1478242254,1643128137
2018-01-08 15:00:00,11677962801,4922890880,12185715873,12294800310,2379319162,1935382058
2018-01-08 16:00:00,9309092580,5501544793,12652739540,8330909086,3404250467,725584435.2
2018-01-08 17:00:00,14285823753,14145562910,13361037388,19123876760,1656382968,2442856622
2018-01-08 18:00:00,9915487847,8308266181,10889302085,13876706113,5552517622,718219517.6
2018-01-08 19:00:00,10081849674,7178112513,11419389996,19030440759,7627266984,1935285316
2018-01-08 20:00:00,11331133816,6236451596,12609564959,7221405950,6448007204,2004263719
2018-01-08 21:00:00,11571874748,6274638298,11983218861,7086423771,5400866188,1073160041
2018-01-08 22:00:00,12188642588,3921119409,9703507450,4600365967,5325917886,924908130.3
2018-01-08 23:00:00,10342662012,4707111380,6940982137,6556314902,6385674899,537920193.2
2018-01-09 0:00:00,16125959897,11548753236,1810131159,20714958257,5357268063,263909162.4
2018-01-09 1:00:00,8725427725,6197898442,7621399197,14058348189,6618866901,7847898351
2018-01-09 2:00:00,7610555407,6803602203,5692276935,5255219667,5000766339,4525299422
2018-01-09 3:00:00,2503706641,6936082375,3796574865,7126023404,4154807212,1019352055
2018-01-09 4:00:00,2931777249,7080797998,5101853829,13644705367,4596502948,10088818225
2018-01-09 5:00:00,2411657614,6246041241,3701425063,32416960608,3487282181,2740692960
2018-01-09 6:00:00,2893650653,4900134900,4578567675,27356758267,5198771879,3772595965
2018-01-09 7:00:00,4050821590,3429398022,6051570699,22060304146,3187415884,796286581.3
2018-01-09 8:00:00,3985347035,5826936028,5304789105,28638644697,5262388643,423094328.7
2018-01-09 9:00:00,3076418041,4929511855,6256667771,36785735566,9432739223,659533960.8
2018-01-09 10:00:00,2722511201,8112125618,4044971124,13167246471,8831551702,1171093594
2018-01-09 11:00:00,3822018508,8919455869,4498024811,12467385658,9040993748,2417473937
2018-01-09 12:00:00,3724099784,8769110037,5517456432,7703548686,8130329376,1020556910
2018-01-09 13:00:00,7707842618,10390937284,7729316301,18123481218,8252961850,474269473.1
2018-01-09 14:00:00,4101221245,10029818416,5505933577,9098298275,6536303859,3231352927
2018-01-09 15:00:00,4662821706,10077482041,6468912822,11482951537,4501415265,5882124438
2018-01-09 16:00:00,4713219788,9481140151,7958424208,10953897162,5225867912,4766375657
2018-01-09 17:00:00,4034693436,9755285019,8151690599,12441053378,5015997448,1811012929
2018-01-09 18:00:00,4619944333,9187077995,7065331691,13237572025,6496974223,6628931296
2018-01-09 19:00:00,4595457766,9796008492,8474611116,7503526835,4405923099,6449933321
2018-01-09 20:00:00,5104876018,9339896319,8055094283,5400894873,1706275952,2187580162
2018-01-09 21:00:00,9351894377,10142572098,6559513459,5576425536,4069256325,9125804361
2018-01-09 22:00:00,13990595079,10217316870,9619597095,6677870644,1073744698,2054289406
2018-01-09 23:00:00,7585509553,7743662290,7921913950,5747619848,2518994794,1438344134
2018-01-10 0:00:00,7529076321,8367280890,10777883614,5739237925,1730181103,934436737.5
2018-01-10 1:00:00,14965318230,7339177000,6992274664,7215327230,2584500116,1778365258
2018-01-10 2:00:00,5146276030,11390756957,7607381971,10510673335,2784866433,5289951860
2018-01-10 3:00:00,4803611175,11239692038,7536108115,22241668699,2147213529,1210461510
2018-01-10 4:00:00,5150260131,9378040070,8982837067,27108092283,1232890140,1329336943
2018-01-10 5:00:00,7728477350,7588787365,6075196368,44743654637,2122351648,5581374452
2018-01-10 6:00:00,7260779276,7604812695,2863558546,41820528460,2401526777,11406149728
2018-01-10 7:00:00,5378383397,7322231109,3047367687,40562888114,3216178877,5957753361
2018-01-10 8:00:00,11158999519,8239315974,4750240203,43902657494,1581329659,11531396598
2018-01-10 9:00:00,7017284836,7346716968,5133774756,38193789729,6153484934,1024653510
2018-01-10 10:00:00,7334842339,7503828842,4593471300,36818696686,7071490822,4962776225
2018-01-10 11:00:00,8944049612,6621110257,3379965641,33625433417,6112890704,4889305273
2018-01-10 12:00:00,10261595537,6054537997,1906947238,15966291224,6491691982,2691919218
2018-01-10 13:00:00,7748119463,3480355593,1008661340,2706979622,7224183993,1080906799
2018-01-10 14:00:00,10044285086,5567167021,3278497683,27122147048,6988993662,6934719458
2018-01-10 15:00:00,6278856037,3650002277,5306078852,1332436654,6443476337,1853793940
2018-01-10 16:00:00,6929533398,6496773865,12204339941,1456577715,7885336352,1259002162
2018-01-10 17:00:00,5440732393,7086155188,9649244178,1671160401,9391660668,2209488710
2018-01-10 18:00:00,5331246257,6939601505,9562264645,1641366216,9793289940,5417152516
2018-01-10 19:00:00,5478655761,7286871467,10656576359,2451566397,8294198564,1572733899
