sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CHIC_KANS_in,0.700201788,0.500285395,0.399960888,0.337411737,0.292256148,0.262626988,0.228719636,0.20516989,0.176725915,0.154461919,0.13628489,0.113032263,0.080500559,0.042144201,0.011679676,-0.011956462,-0.043878704,-0.069245137,-0.092706825,-0.106418581,-0.125919045,-0.141604419,-0.153247863,-0.160291519
CHIC_KANS_out,0.806377681,0.630096352,0.487583966,0.358434532,0.210092418,0.083485152,-0.029633962,-0.10830669,-0.196462607,-0.262143343,-0.306606869,-0.319137306,-0.352768384,-0.368993728,-0.373551719,-0.365602457,-0.383010328,-0.39000911,-0.384978366,-0.361463997,-0.36785642,-0.365659343,-0.360587926,-0.348500884
CHIC_STAR_in,0.769678105,0.565714068,0.431293697,0.336036634,0.261861924,0.211303114,0.185537283,0.168970585,0.146888951,0.122185451,0.09756337,0.079093111,0.056841477,0.037393267,0.025177858,0.016811909,0.012538041,0.007549899,0.004930334,0.002340166,-0.001587536,-0.005782785,-0.010108961,-0.014813828
CHIC_STAR_out,0.592244128,0.434026254,0.330175984,0.246140671,0.150038968,0.087495631,0.047771749,0.015953807,-0.018418945,-0.043854347,-0.074718512,-0.105653474,-0.143724044,-0.177645077,-0.209005898,-0.242097614,-0.269459991,-0.295743641,-0.322210826,-0.342511294,-0.377746563,-0.409872241,-0.428674312,-0.448311169
DENV_LSVN_in,0.059033937,0.037735755,0.026620864,0.02429582,0.016229339,-0.001975896,-0.026167906,-0.046292519,-0.061966638,-0.087024808,-0.108330943,-0.129565469,-0.146970992,-0.166889557,-0.191197594,-0.206988095,-0.213970748,-0.219603022,-0.238826978,-0.251754911,-0.260117406,-0.27559543,-0.284514282,-0.314880118
DENV_LSVN_out,0.537949193,0.381164734,0.216164629,0.014508365,-0.195683666,-0.447544374,-0.779072859,-1.163253081,-1.592711956,-2.065248741,-2.628104688,-3.237519593,-3.906605475,-4.587026289,-5.213354349,-5.781928574,-6.17538533,-6.330527411,-6.200967353,-5.752626706,-5.073945292,-4.212351586,-3.342426215,-2.565014632
PPPL_WASH_in,0.483323113,0.148960483,0.071899881,0.037775812,0.001341728,-0.0266127,-0.042530803,-0.0462191,-0.045644572,-0.042979389,-0.037560892,-0.032087656,-0.026563849,-0.022574824,-0.018552466,-0.015675349,-0.01442732,-0.013733732,-0.014320885,-0.014638107,-0.015364154,-0.017951524,-0.019484771,-0.021505782
PPPL_WASH_out,0.008204396,-0.108236163,-0.102018782,-0.096713609,-0.090544223,-0.092551616,-0.087699131,-0.081781653,-0.076584689,-0.069247837,-0.069126905,-0.072300675,-0.070714031,-0.067534902,-0.070059619,-0.074434946,-0.070195199,-0.066888797,-0.065896055,-0.062647144,-0.070086159,-0.07422773,-0.077702447,-0.078129598
HOUS_NASH_in,0.56847458,0.393706771,0.254277938,0.152000787,0.072119698,0.010682093,-0.039871827,-0.076990116,-0.098132147,-0.113858636,-0.127371146,-0.140346541,-0.148855562,-0.14397299,-0.143693405,-0.14300751,-0.143549213,-0.142909704,-0.148133961,-0.147872638,-0.152847483,-0.158873221,-0.157333541,-0.160434231
HOUS_NASH_out,0.726091176,0.532127387,0.388230757,0.276821827,0.175714733,0.085675789,0.006803972,-0.046760981,-0.088032926,-0.116761464,-0.13057036,-0.142344675,-0.157450382,-0.178598992,-0.204952715,-0.235726609,-0.267932042,-0.28176532,-0.290503382,-0.28955743,-0.28435771,-0.275015963,-0.267616645,-0.262734929
ALBQ_SNLA_in,0.686305628,0.352006573,0.271528713,0.240268686,0.215618168,0.224203553,0.209193542,0.187917161,0.170708491,0.157643646,0.145744249,0.127575097,0.111011876,0.098835167,0.091590418,0.088989092,0.087713893,0.085845355,0.085088787,0.082279047,0.078162783,0.073144069,0.062209617,0.044675559
ALBQ_SNLA_out,0.937866547,0.87081387,0.802462077,0.733406158,0.668644982,0.611064206,0.55718654,0.509576906,0.46655501,0.426044681,0.393673082,0.368255321,0.352901995,0.348501769,0.353338139,0.366200518,0.385466265,0.407490824,0.428674571,0.4462771,0.459980342,0.470539097,0.476408857,0.471889874
EASH_WASH_in,0.585090282,0.314758102,0.110647886,-0.094837704,-0.229113021,-0.374964493,-0.513599873,-0.646959733,-0.799068865,-0.997452372,-1.060671741,-1.092703282,-1.102335317,-1.122528195,-1.130574939,-1.128764809,-1.109089185,-1.095907524,-1.12785532,-1.16696549,-1.20312753,-1.237307756,-1.268806787,-1.290366267
EASH_WASH_out,0.589998487,0.217560204,-0.062710654,-0.301769327,-0.484037939,-0.67953666,-0.834099353,-0.940859759,-1.072212304,-1.173931299,-1.307007861,-1.430425216,-1.581350797,-1.713216284,-1.797323693,-1.874087635,-1.980308105,-2.050015154,-2.16736517,-2.241475425,-2.286374093,-2.326186005,-2.384639563,-2.438045966
SLAC_SUNN_in,-0.534184667,-0.384258725,-0.319630381,-0.305951101,-0.365723488,-0.421572079,-0.528164296,-0.662362326,-0.79064592,-0.93591417,-1.053475609,-1.210831808,-1.356039956,-1.503261964,-1.722289756,-1.939246431,-2.163953084,-2.400758956,-2.687211964,-2.956633694,-3.191024422,-3.504941514,-3.798012044,-4.125992598
SLAC_SUNN_out,-0.120123473,-0.111077696,-0.089009213,-0.07420122,-0.07161637,-0.080498229,-0.09471465,-0.100072934,-0.111278229,-0.133438319,-0.147067173,-0.157124094,-0.176567245,-0.200166637,-0.220909541,-0.244108039,-0.250459375,-0.268584356,-0.291329412,-0.312202295,-0.331042018,-0.352214045,-0.364763337,-0.406599914
ELPA_SUNN_in,0.799202985,0.645891583,0.511948173,0.386712302,0.242296889,0.093649948,-0.061605861,-0.230071044,-0.401327976,-0.59110592,-0.752735516,-0.901819099,-1.021748306,-1.114049076,-1.183271827,-1.241024321,-1.271133564,-1.300139431,-1.370839692,-1.483238547,-1.658328921,-1.863709624,-2.089836296,-2.325178215
ELPA_SUNN_out,0.81810668,0.650552777,0.492768852,0.332714879,0.143233191,-0.070159967,-0.332994728,-0.637616142,-0.988177594,-1.401143824,-1.876621846,-2.413561879,-2.973910913,-3.526545941,-4.005385474,-4.338624048,-4.496955643,-4.432533421,-4.165296249,-3.754543135,-3.284147595,-2.804216167,-2.350139648,-1.944621561
ATLA_NASH_in,0.831254534,0.68347368,0.576032189,0.485352456,0.405677706,0.336117406,0.273981572,0.221789807,0.17859508,0.14553666,0.122023677,0.101173982,0.082999229,0.064298252,0.04485055,0.019616249,-0.017582076,-0.05880686,-0.102635686,-0.146847668,-0.186024661,-0.225236517,-0.261977373,-0.2935972
